[W1S1] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 09:00–09:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S154] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 85:30–85:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S155] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 86:00–86:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S156] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 86:30–86:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S157] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 87:00–87:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S158] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 87:30–87:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S159] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 88:00–88:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S160] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 88:30–88:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S161] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 89:00–89:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S162] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 89:30–89:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S163] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 90:00–90:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S164] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 90:30–90:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S165] 📅 Thursday | 🗓️ May 15, 2025 | 🕒 91:00–91:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S166] 📅 Friday | 🗓️ May 16, 2025 | 🕒 91:30–91:60 | 🧴 Pool rehabilitation | 🧠 Rehabilitation | 👨‍⚕️ None | 👤 None | Available
[W3S167] 📅 Friday | 🗓️ May 16, 2025 | 🕒 92:00–92:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S168] 📅 Friday | 🗓️ May 16, 2025 | 🕒 92:30–92:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S169] 📅 Friday | 🗓️ May 16, 2025 | 🕒 93:00–93:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S170] 📅 Friday | 🗓️ May 16, 2025 | 🕒 93:30–93:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S171] 📅 Friday | 🗓️ May 16, 2025 | 🕒 94:00–94:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S172] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 94:30–94:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S173] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 95:00–95:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S174] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 95:30–95:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S175] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 96:00–96:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S176] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 96:30–96:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S177] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 97:00–97:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S178] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 97:30–97:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S179] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 98:00–98:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S180] 📅 Saturday | 🗓️ May 17, 2025 | 🕒 98:30–98:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S181] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 99:00–99:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S182] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 99:30–99:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S183] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 100:00–100:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S184] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 100:30–100:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S185] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 101:00–101:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S186] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 101:30–101:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S187] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 102:00–102:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S188] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 102:30–102:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S189] 📅 Sunday | 🗓️ May 18, 2025 | 🕒 103:00–103:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S190] 📅 Monday | 🗓️ May 19, 2025 | 🕒 103:30–103:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S191] 📅 Monday | 🗓️ May 19, 2025 | 🕒 104:00–104:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S192] 📅 Monday | 🗓️ May 19, 2025 | 🕒 104:30–104:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S193] 📅 Monday | 🗓️ May 19, 2025 | 🕒 105:00–105:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S194] 📅 Monday | 🗓️ May 19, 2025 | 🕒 105:30–105:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S195] 📅 Monday | 🗓️ May 19, 2025 | 🕒 106:00–106:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S196] 📅 Monday | 🗓️ May 19, 2025 | 🕒 106:30–106:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S197] 📅 Monday | 🗓️ May 19, 2025 | 🕒 107:00–107:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S198] 📅 Monday | 🗓️ May 19, 2025 | 🕒 107:30–107:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S199] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 108:00–108:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S200] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 108:30–108:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S201] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 109:00–109:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S202] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 109:30–109:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S203] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 110:00–110:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S204] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 110:30–110:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S205] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 111:00–111:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S206] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 111:30–111:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S207] 📅 Tuesday | 🗓️ May 20, 2025 | 🕒 112:00–112:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S208] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 112:30–112:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S209] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 113:00–113:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S210] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 113:30–113:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S211] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 114:00–114:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S212] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 114:30–114:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S213] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 115:00–115:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S214] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 115:30–115:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S215] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 116:00–116:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S216] 📅 Wednesday | 🗓️ May 21, 2025 | 🕒 116:30–116:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S217] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 117:00–117:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S218] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 117:30–117:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S219] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 118:00–118:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S220] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 118:30–118:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S221] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 119:00–119:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S222] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 119:30–119:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S223] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 120:00–120:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S224] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 120:30–120:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S225] 📅 Thursday | 🗓️ May 22, 2025 | 🕒 121:00–121:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S226] 📅 Friday | 🗓️ May 23, 2025 | 🕒 121:30–121:60 | 🧴 Pool rehabilitation | 🧠 Rehabilitation | 👨‍⚕️ None | 👤 None | Available
[W4S227] 📅 Friday | 🗓️ May 23, 2025 | 🕒 122:00–122:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S228] 📅 Friday | 🗓️ May 23, 2025 | 🕒 122:30–122:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S229] 📅 Friday | 🗓️ May 23, 2025 | 🕒 123:00–123:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S230] 📅 Friday | 🗓️ May 23, 2025 | 🕒 123:30–123:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S231] 📅 Friday | 🗓️ May 23, 2025 | 🕒 124:00–124:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W4S232] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 124:30–124:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S233] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 125:00–125:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S234] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 125:30–125:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S235] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 126:00–126:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S236] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 126:30–126:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S237] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 127:00–127:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S238] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 127:30–127:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S239] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 128:00–128:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W4S240] 📅 Saturday | 🗓️ May 24, 2025 | 🕒 128:30–128:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
